Round Number,Home Team,Away Team,AResult,AFTHG,AFTAG,FTHG,FTAG,FTR,Perc
1,Fulham,Arsenal,A,0.0,3.0,1.56,1.46,A,0.6
1,Burnley,Man Utd,,,,1.13,1.29,A,0.67
1,Man City,Aston Villa,,,,2.09,0.76,H,0.71
1,Crystal Palace,Southampton,H,1.0,0.0,1.26,1.1,A,0.62
1,Liverpool,Leeds,H,4.0,3.0,1.64,1.02,H,0.54
1,West Ham,Newcastle,A,0.0,2.0,1.52,1.0,H,0.52
1,West Brom,Leicester,A,0.0,3.0,1.24,1.41,A,0.75
1,Spurs,Everton,A,0.0,1.0,1.87,1.25,H,0.55
1,Sheffield Utd,Wolves,A,0.0,2.0,1.32,0.97,A,0.59
1,Brighton,Chelsea,A,1.0,3.0,1.21,1.36,A,0.63
2,Everton,West Brom,H,5.0,2.0,1.43,1.16,A,0.57
2,Leeds,Fulham,H,4.0,3.0,1.68,1.03,H,0.53
2,Man Utd,Crystal Palace,A,1.0,3.0,1.89,0.87,H,0.61
2,Arsenal,West Ham,H,2.0,1.0,1.69,1.04,H,0.53
2,Southampton,Spurs,A,2.0,5.0,1.23,1.37,A,0.62
2,Newcastle,Brighton,A,0.0,3.0,1.37,1.09,A,0.55
2,Chelsea,Liverpool,A,0.0,2.0,1.54,1.24,A,0.61
2,Leicester,Burnley,H,4.0,2.0,1.61,0.88,H,0.57
2,Aston Villa,Sheffield Utd,H,1.0,0.0,1.05,1.3,A,0.69
2,Wolves,Man City,A,1.0,3.0,1.29,1.88,A,0.75
3,Brighton,Man Utd,A,2.0,3.0,1.29,1.33,A,0.62
3,Crystal Palace,Everton,A,1.0,2.0,1.42,1.31,A,0.63
3,West Brom,Chelsea,D,3.0,3.0,1.24,1.51,A,0.69
3,Burnley,Southampton,A,0.0,1.0,1.33,1.07,A,0.55
3,Sheffield Utd,Leeds,A,0.0,1.0,1.31,1.09,A,0.59
3,Spurs,Newcastle,D,1.0,1.0,1.67,1.07,H,0.52
3,Man City,Leicester,A,2.0,5.0,2.2,1.05,H,0.61
3,West Ham,Wolves,H,4.0,0.0,1.48,1.2,H A,1.0
3,Fulham,Aston Villa,A,0.0,3.0,1.7,1.32,A,0.59
3,Liverpool,Arsenal,H,3.0,1.0,1.65,1.43,A,0.57
4,Chelsea,Crystal Palace,H,4.0,0.0,1.79,1.1,H,0.52
4,Everton,Brighton,H,4.0,2.0,1.57,0.96,A,0.51
4,Leeds,Man City,D,1.0,1.0,1.37,1.33,A,0.66
4,Newcastle,Burnley,H,3.0,1.0,1.45,1.07,H A,1.0
4,Leicester,West Ham,A,0.0,3.0,1.67,1.15,H,0.54
4,Southampton,West Brom,H,2.0,0.0,1.53,1.01,A,0.52
4,Arsenal,Sheffield Utd,H,1.0,0.0,1.29,1.01,A,0.63
4,Wolves,Fulham,H,2.0,1.0,1.46,1.16,A,0.56
4,Man Utd,Spurs,A,1.0,6.0,1.62,1.16,H,0.51
4,Aston Villa,Liverpool,H,7.0,2.0,0.95,1.55,A,0.8
5,Everton,Liverpool,D,2.0,2.0,1.66,1.21,A,0.51
5,Chelsea,Southampton,D,3.0,3.0,1.87,1.04,H,0.58
5,Man City,Arsenal,H,1.0,0.0,1.96,1.44,H,0.53
5,Newcastle,Man Utd,A,1.0,4.0,1.24,1.4,A,0.66
5,Sheffield Utd,Fulham,D,1.0,1.0,1.81,0.77,H,0.55
5,Crystal Palace,Brighton,D,1.0,1.0,1.2,0.98,A,0.59
5,Spurs,West Ham,D,3.0,3.0,1.7,0.98,H,0.61
5,Leicester,Aston Villa,A,0.0,1.0,1.65,1.22,A,0.56
5,West Brom,Burnley,D,0.0,0.0,1.57,0.99,H,0.52
5,Leeds,Wolves,A,0.0,1.0,1.58,0.81,H,0.59
6,Aston Villa,Leeds,A,0.0,3.0,1.66,1.39,A,0.55
6,West Ham,Man City,D,1.0,1.0,1.32,1.58,A,0.7
6,Fulham,Crystal Palace,A,1.0,2.0,1.36,1.29,A,0.59
6,Man Utd,Chelsea,D,0.0,0.0,1.47,1.17,A,0.57
6,Liverpool,Sheffield Utd,H,2.0,1.0,1.52,0.93,A,0.53
6,Southampton,Everton,H,2.0,0.0,1.29,1.09,A,0.57
6,Wolves,Newcastle,D,1.0,1.0,1.33,1.36,A,0.6
6,Arsenal,Leicester,A,0.0,1.0,1.94,1.07,H,0.56
6,Brighton,West Brom,D,1.0,1.0,1.64,1.02,H A,1.0
6,Burnley,Spurs,A,0.0,1.0,1.31,1.63,A,0.7
7,Wolves,Crystal Palace,H,2.0,0.0,1.47,1.44,A,0.62
7,Sheffield Utd,Man City,A,0.0,1.0,1.07,1.37,A,0.69
7,Burnley,Chelsea,A,0.0,3.0,1.12,1.47,A,0.67
7,Liverpool,West Ham,H,2.0,1.0,1.96,1.02,H,0.54
7,Aston Villa,Southampton,A,3.0,4.0,1.46,1.38,A,0.63
7,Newcastle,Everton,H,2.0,1.0,1.5,1.09,A,0.52
7,Man Utd,Arsenal,A,0.0,1.0,1.7,1.24,H A,1.0
7,Spurs,Brighton,H,2.0,1.0,1.67,0.66,H,0.63
7,Fulham,West Brom,H,2.0,0.0,1.42,1.38,A,0.6
7,Leeds,Leicester,A,1.0,4.0,1.51,1.34,A,0.59
8,Brighton,Burnley,D,0.0,0.0,1.39,1.08,A,0.55
8,Southampton,Newcastle,H,2.0,0.0,1.57,1.12,A,0.53
8,Everton,Man Utd,A,1.0,3.0,1.31,1.48,A,0.69
8,Crystal Palace,Leeds,H,4.0,1.0,1.11,1.33,A,0.7
8,Chelsea,Sheffield Utd,H,4.0,1.0,1.42,0.68,H,0.54
8,West Ham,Fulham,H,1.0,0.0,1.51,1.18,H,0.51
8,West Brom,Spurs,A,0.0,1.0,1.25,1.55,A,0.7
8,Leicester,Wolves,H,1.0,0.0,1.63,1.15,A,0.53
8,Man City,Liverpool,D,1.0,1.0,2.02,1.16,H,0.58
8,Arsenal,Aston Villa,A,0.0,3.0,2.03,1.03,H,0.58
9,Newcastle,Chelsea,A,0.0,2.0,1.27,1.35,A,0.64
9,Aston Villa,Brighton,A,1.0,2.0,1.47,1.25,A,0.6
9,Burnley,Crystal Palace,H,2.0,0.0,1.33,1.02,A,0.59
9,Fulham,Everton,H,1.0,0.0,1.69,1.42,A,0.56
9,Liverpool,Leicester,A,2.0,3.0,1.78,1.07,H,0.54
9,Man Utd,West Brom,A,0.0,1.0,1.65,0.91,H,0.58
9,Wolves,Southampton,D,0.0,0.0,1.09,1.38,A,0.7
9,Spurs,Man City,H,3.0,0.0,1.27,1.36,A,0.6
9,Sheffield Utd,West Ham,H,1.0,0.0,1.4,1.14,A,0.58
9,Leeds,Arsenal,D,1.0,1.0,1.46,1.54,A,0.62
10,Arsenal,Wolves,,,,1.74,0.8,H,0.6
10,Brighton,Liverpool,,,,1.14,1.56,A,0.72
10,Chelsea,Spurs,,,,1.62,1.17,A,0.53
10,Crystal Palace,Newcastle,A,0.0,2.0,1.21,1.14,A,0.6
10,Everton,Leeds,,,,1.53,1.23,A,0.57
10,Leicester,Fulham,,,,1.6,1.1,A,0.52
10,Man City,Burnley,,,,2.0,0.8,H,0.66
10,Southampton,Man Utd,,,,1.3,1.39,A,0.65
10,West Brom,Sheffield Utd,,,,1.09,1.26,A,0.7
